Region,Country,Item Type
Australia and Oceania,Tonga,Office Supplies
Sub-Saharan Africa,Guinea-Bissau,Vegetables
Europe,Estonia,Household
Sub-Saharan Africa,Zimbabwe,Office Supplies
Middle East and North Africa,Algeria,Cosmetics
Central America and the Caribbean,Costa Rica,Baby Food
Asia,Singapore,Cereal
Central America and the Caribbean,Antigua and Barbuda ,Office Supplies
Asia,Tajikistan,Cereal
Sub-Saharan Africa,Uganda,Beverages
Europe,Ireland,Snacks
Australia and Oceania,Australia,Vegetables
Europe,Belgium,Office Supplies
Middle East and North Africa,Bahrain,Office Supplies
Central America and the Caribbean,The Bahamas,Baby Food
Europe,Moldova ,Meat
Asia,Myanmar,Vegetables
Sub-Saharan Africa,Ghana,Household
Asia,Kyrgyzstan,Beverages
Europe,San Marino,Beverages
Sub-Saharan Africa,Togo,Baby Food
Asia,Sri Lanka,Beverages
Europe,Armenia,Household
Europe,Russia,Baby Food
Asia,Uzbekistan,Clothes
Central America and the Caribbean,Haiti,Office Supplies
Central America and the Caribbean,Panama,Household
Sub-Saharan Africa,Mozambique,Beverages
Middle East and North Africa,Lebanon,Clothes
Sub-Saharan Africa,Benin,Fruits
Europe,United Kingdom,Beverages
Australia and Oceania,Marshall Islands,Snacks
Europe,Switzerland,Cosmetics
Sub-Saharan Africa,Cape Verde,Snacks
Europe,France,Snacks
Middle East and North Africa,Pakistan,Baby Food
Europe,Portugal,Fruits
Asia,Myanmar,Cosmetics
Europe,Vatican City,Meat
Asia,Mongolia,Household
Europe,Romania,Vegetables
Middle East and North Africa,United Arab Emirates,Household
Europe,Poland,Cosmetics
Australia and Oceania,Australia,Baby Food
Australia and Oceania,East Timor,Meat
Central America and the Caribbean,Honduras,Office Supplies
North America,United States of America,Cereal
Middle East and North Africa,Afghanistan,Vegetables
Middle East and North Africa,Syria,Beverages
Central America and the Caribbean,Barbados,Clothes
Middle East and North Africa,Lebanon,Meat
Middle East and North Africa,Bahrain,Household
Sub-Saharan Africa,Nigeria,Baby Food
Europe,Sweden,Clothes
Sub-Saharan Africa,Niger,Meat
Europe,Italy,Office Supplies
Asia,Sri Lanka,Snacks
Sub-Saharan Africa,Sao Tome and Principe,Clothes
Sub-Saharan Africa,Rwanda,Office Supplies
Middle East and North Africa,Libya,Clothes
Europe,Portugal,Household
Asia,Bhutan,Beverages
Central America and the Caribbean,Saint Kitts and Nevis ,Meat
Asia,Kazakhstan,Snacks
Europe,Belgium,Household
Europe,Iceland,Meat
Central America and the Caribbean,Jamaica,Snacks
Europe,Belgium,Beverages
Asia,Indonesia,Cosmetics
Europe,Greece,Household
Middle East and North Africa,Morocco,Clothes
Europe,Ireland,Fruits
Asia,Malaysia,Vegetables
Europe,Italy,Household
Sub-Saharan Africa,Madagascar,Office Supplies
Sub-Saharan Africa,Cameroon,Baby Food
Sub-Saharan Africa,Mauritania,Vegetables
Sub-Saharan Africa,Niger,Clothes
Sub-Saharan Africa,Madagascar,Cereal
Central America and the Caribbean,Panama,Office Supplies
Sub-Saharan Africa,Botswana,Office Supplies
Asia,Turkmenistan,Cereal
Central America and the Caribbean,Haiti,Beverages
Central America and the Caribbean,Jamaica,Clothes
Asia,North Korea,Snacks
Sub-Saharan Africa,Benin,Beverages
Central America and the Caribbean,Saint Vincent and the Grenadines,Cosmetics
Asia,Kyrgyzstan,Cosmetics
Europe,Georgia,Clothes
Sub-Saharan Africa,Seychelles ,Meat
Europe,Cyprus,Cereal
Europe,Germany,Snacks
Australia and Oceania,Tonga,Office Supplies
Asia,Sri Lanka,Beverages
Asia,China,Snacks
Sub-Saharan Africa,Zimbabwe,Cereal
Europe,Germany,Cereal
Sub-Saharan Africa,Mozambique,Meat
Middle East and North Africa,Egypt,Household
Asia,Uzbekistan,Cereal
Sub-Saharan Africa,South Sudan,Snacks
Europe,Luxembourg,Meat
Middle East and North Africa,Azerbaijan,Clothes
Europe,Montenegro,Cereal
Australia and Oceania,Federated States of Micronesia,Cereal
Europe,Albania,Cereal
Europe,Lithuania,Office Supplies
Middle East and North Africa,Oman,Fruits
Australia and Oceania,Samoa ,Beverages
Sub-Saharan Africa,Mozambique,Office Supplies
Europe,Croatia,Clothes
Sub-Saharan Africa,Swaziland,Snacks
Europe,Greece,Household
Europe,Portugal,Clothes
Europe,Austria,Cereal
Sub-Saharan Africa,Rwanda,Cereal
Europe,United Kingdom,Office Supplies
Central America and the Caribbean,El Salvador,Office Supplies
Sub-Saharan Africa,Equatorial Guinea,Personal Care
Europe,Sweden,Cosmetics
Sub-Saharan Africa,Senegal,Office Supplies
Central America and the Caribbean,Nicaragua,Office Supplies
Asia,Kyrgyzstan,Office Supplies
Europe,Albania,Fruits
Sub-Saharan Africa,Guinea-Bissau,Beverages
Australia and Oceania,Samoa ,Cosmetics
Sub-Saharan Africa,Botswana,Beverages
North America,United States of America,Household
Sub-Saharan Africa,Burundi,Cosmetics
Asia,Japan,Snacks
Australia and Oceania,Samoa ,Fruits
Sub-Saharan Africa,Eritrea,Personal Care
Australia and Oceania,Solomon Islands,Vegetables
Middle East and North Africa,Oman,Personal Care
Europe,Iceland,Personal Care
Middle East and North Africa,Yemen,Fruits
Asia,Mongolia,Household
Australia and Oceania,Fiji,Household
Europe,Armenia,Cosmetics
Europe,Ukraine,Snacks
Europe,Latvia,Office Supplies
Central America and the Caribbean,Costa Rica,Vegetables
Asia,Philippines,Fruits
Sub-Saharan Africa,Uganda,Personal Care
Europe,Croatia,Household
Central America and the Caribbean,The Bahamas,Clothes
Middle East and North Africa,Qatar,Cereal
Sub-Saharan Africa,Niger,Household
Middle East and North Africa,United Arab Emirates,Clothes
Europe,Austria,Cosmetics
Asia,Mongolia,Snacks
Sub-Saharan Africa,Republic of the Congo,Office Supplies
Central America and the Caribbean,Nicaragua,Beverages
Middle East and North Africa,Egypt,Clothes
Asia,Laos,Household
Australia and Oceania,Nauru,Baby Food
Sub-Saharan Africa,Namibia,Fruits
Central America and the Caribbean,Haiti,Clothes
Central America and the Caribbean,Dominican Republic,Snacks
Australia and Oceania,Federated States of Micronesia,Personal Care
Europe,Albania,Cereal
Asia,Cambodia,Office Supplies
Asia,North Korea,Household
Asia,Taiwan,Office Supplies
Europe,Georgia,Household
Sub-Saharan Africa,Madagascar,Baby Food
Sub-Saharan Africa,Seychelles ,Cosmetics
Sub-Saharan Africa,Senegal,Household
Europe,Slovakia,Cereal
Europe,Georgia,Personal Care
Europe,Malta,Clothes
Central America and the Caribbean,Cuba,Household
Asia,Mongolia,Personal Care
Asia,Myanmar,Personal Care
Middle East and North Africa,Afghanistan,Personal Care
Sub-Saharan Africa,Cameroon,Personal Care
North America,Greenland,Meat
Europe,Macedonia,Baby Food
Europe,Monaco,Snacks
Central America and the Caribbean,Dominican Republic,Household
Middle East and North Africa,Yemen,Baby Food
Sub-Saharan Africa,Ethiopia,Cosmetics
Sub-Saharan Africa,Central African Republic,Snacks
Sub-Saharan Africa,Cameroon,Baby Food
Sub-Saharan Africa,Benin,Cosmetics
Europe,Russia,Vegetables
Europe,Finland,Household
Europe,Latvia,Baby Food
Middle East and North Africa,Algeria,Office Supplies
Asia,Brunei,Household
Sub-Saharan Africa,Guinea,Personal Care
Asia,Taiwan,Clothes
Asia,Thailand,Snacks
Sub-Saharan Africa,Ghana,Vegetables
Europe,Kosovo,Snacks
Middle East and North Africa,Tunisia ,Meat
Australia and Oceania,Tuvalu,Clothes
Asia,Uzbekistan,Household
Central America and the Caribbean,Guatemala,Personal Care
Middle East and North Africa,Morocco,Office Supplies
Middle East and North Africa,Azerbaijan,Fruits
North America,Greenland,Snacks
Sub-Saharan Africa,Namibia,Cosmetics
Europe,Lithuania,Snacks
Asia,Indonesia,Household
Europe,Iceland,Cereal
Europe,Portugal,Clothes
Middle East and North Africa,Saudi Arabia,Beverages
Asia,China,Cosmetics
Asia,Kazakhstan,Personal Care
Sub-Saharan Africa,Zambia,Meat
Asia,Sri Lanka,Snacks
North America,Greenland,Beverages
Australia and Oceania,Papua New Guinea,Meat
Central America and the Caribbean,Cuba,Personal Care
Europe,Moldova ,Beverages
Australia and Oceania,Papua New Guinea,Fruits
North America,Mexico,Cosmetics
Sub-Saharan Africa,Sudan,Office Supplies
Central America and the Caribbean,Guatemala,Fruits
Sub-Saharan Africa,Equatorial Guinea,Vegetables
Middle East and North Africa,Iran,Snacks
Middle East and North Africa,Oman,Cereal
Asia,Kazakhstan,Cosmetics
Middle East and North Africa,Syria,Office Supplies
Europe,Albania,Personal Care
Australia and Oceania,Vanuatu,Snacks
Middle East and North Africa,Algeria,Snacks
Sub-Saharan Africa,Tanzania,Personal Care
Middle East and North Africa,Syria,Household
Central America and the Caribbean,Honduras,Snacks
Europe,Estonia,Meat
Asia,Philippines,Fruits
Europe,Slovakia,Office Supplies
Europe,Spain,Vegetables
Asia,Bangladesh,Vegetables
Middle East and North Africa,Turkey,Meat
Europe,Macedonia,Beverages
Asia,Japan,Household
North America,United States of America,Meat
Sub-Saharan Africa,Kenya,Personal Care
Europe,Montenegro,Office Supplies
Central America and the Caribbean,Saint Lucia,Snacks
Europe,Kosovo,Office Supplies
Asia,Malaysia,Clothes
Australia and Oceania,New Zealand,Cosmetics
Sub-Saharan Africa,Cote d'Ivoire,Fruits
Australia and Oceania,Kiribati,Cereal
North America,Greenland,Cosmetics
Europe,Ireland,Office Supplies
Sub-Saharan Africa,Burundi,Baby Food
Central America and the Caribbean,Dominica,Beverages
Central America and the Caribbean,Dominican Republic,Cereal
Asia,Singapore,Fruits
Australia and Oceania,Fiji,Office Supplies
Sub-Saharan Africa,Eritrea,Beverages
Central America and the Caribbean,Nicaragua,Clothes
North America,United States of America,Cereal
Sub-Saharan Africa,Sierra Leone,Personal Care
Sub-Saharan Africa,Mozambique,Meat
Asia,Kyrgyzstan,Fruits
Asia,Taiwan,Baby Food
Sub-Saharan Africa,Togo,Snacks
Middle East and North Africa,Pakistan,Snacks
Europe,Belgium,Baby Food
Middle East and North Africa,Libya,Cosmetics
Europe,Monaco,Vegetables
Europe,Germany,Cereal
Sub-Saharan Africa,Eritrea,Cereal
Middle East and North Africa,Saudi Arabia,Baby Food
Sub-Saharan Africa,Sudan,Vegetables
Central America and the Caribbean,Nicaragua,Office Supplies
Sub-Saharan Africa,Madagascar,Snacks
Central America and the Caribbean,Grenada,Personal Care
Central America and the Caribbean,Saint Vincent and the Grenadines,Baby Food
Europe,Netherlands,Fruits
Sub-Saharan Africa,South Africa,Vegetables
Sub-Saharan Africa,Republic of the Congo,Cereal
Asia,Uzbekistan,Household
Middle East and North Africa,Libya,Personal Care
Europe,Iceland,Snacks
Australia and Oceania,Solomon Islands,Snacks
Sub-Saharan Africa,Gabon,Office Supplies
Europe,Czech Republic,Clothes
Sub-Saharan Africa,Comoros,Personal Care
Sub-Saharan Africa,Malawi,Baby Food
Sub-Saharan Africa,Zambia,Meat
Middle East and North Africa,Libya,Baby Food
Europe,Andorra,Snacks
Central America and the Caribbean,Dominican Republic,Snacks
Asia,Bangladesh,Cosmetics
Middle East and North Africa,Turkey,Meat
Europe,Spain,Clothes
Sub-Saharan Africa,Gabon,Personal Care
Europe,Netherlands,Household
Sub-Saharan Africa,Sudan,Office Supplies
Sub-Saharan Africa,Ghana,Personal Care
Sub-Saharan Africa,Cameroon,Vegetables
Central America and the Caribbean,Saint Kitts and Nevis ,Cosmetics
Europe,Serbia,Cereal
Europe,Slovenia,Meat
Sub-Saharan Africa,Mauritania,Office Supplies
Australia and Oceania,Vanuatu,Snacks
Europe,San Marino,Household
Asia,Maldives,Snacks
Europe,Vatican City,Baby Food
Australia and Oceania,Australia,Baby Food
Middle East and North Africa,United Arab Emirates,Vegetables
Australia and Oceania,Kiribati,Household
Middle East and North Africa,Saudi Arabia,Vegetables
Sub-Saharan Africa,Mauritania,Snacks
Middle East and North Africa,Syria,Office Supplies
Europe,Russia,Vegetables
Europe,Finland,Household
Asia,Myanmar,Personal Care
Sub-Saharan Africa,Niger,Baby Food
Asia,Myanmar,Beverages
Middle East and North Africa,Yemen,Cereal
Middle East and North Africa,Algeria,Office Supplies
Europe,Monaco,Vegetables
Middle East and North Africa,Kuwait,Clothes
Europe,Liechtenstein,Baby Food
Europe,Liechtenstein,Personal Care
Europe,Poland,Clothes
Middle East and North Africa,Kuwait,Baby Food
Middle East and North Africa,Azerbaijan,Office Supplies
Middle East and North Africa,Turkey,Fruits
Europe,Belgium,Office Supplies
Europe,Spain,Beverages
Australia and Oceania,Marshall Islands,Clothes
Asia,Sri Lanka,Household
Europe,Iceland,Office Supplies
Europe,Switzerland,Clothes
Middle East and North Africa,Azerbaijan,Cereal
Europe,Iceland,Cosmetics
Asia,Myanmar,Cosmetics
Central America and the Caribbean,Nicaragua,Household
Middle East and North Africa,Oman,Clothes
Europe,Poland,Clothes
Sub-Saharan Africa,Rwanda,Clothes
Europe,Albania,Snacks
Europe,United Kingdom,Snacks
Sub-Saharan Africa,The Gambia,Snacks
Asia,Kazakhstan,Meat
Sub-Saharan Africa,Nigeria,Personal Care
Europe,San Marino,Household
Sub-Saharan Africa,Cape Verde,Meat
Asia,Sri Lanka,Meat
Sub-Saharan Africa,Eritrea,Baby Food
Europe,Slovenia,Office Supplies
Sub-Saharan Africa,Angola,Cereal
Europe,Moldova ,Baby Food
Europe,Ireland,Meat
Australia and Oceania,Samoa ,Vegetables
Asia,Malaysia,Clothes
Europe,Malta,Vegetables
Middle East and North Africa,Bahrain,Cereal
Europe,Czech Republic,Personal Care
Europe,Denmark,Household
Europe,Slovakia,Personal Care
Europe,Spain,Cosmetics
Australia and Oceania,Nauru,Meat
Sub-Saharan Africa,Nigeria,Cereal
Asia,Indonesia,Cereal
Sub-Saharan Africa,Liberia,Clothes
Middle East and North Africa,Yemen,Cereal
Asia,Brunei,Fruits
Europe,Romania,Baby Food
Europe,Netherlands,Fruits
Sub-Saharan Africa,Botswana,Clothes
Middle East and North Africa,Turkey,Vegetables
Middle East and North Africa,Jordan,Meat
Sub-Saharan Africa,South Africa,Snacks
Central America and the Caribbean,Belize,Household
Australia and Oceania,Papua New Guinea,Household
Central America and the Caribbean,Honduras,Snacks
Europe,Russia,Household
Europe,Iceland,Cereal
Central America and the Caribbean,The Bahamas,Vegetables
Middle East and North Africa,Afghanistan,Fruits
Central America and the Caribbean,Trinidad and Tobago,Beverages
Europe,Serbia,Cereal
Europe,Monaco,Personal Care
Middle East and North Africa,Jordan,Baby Food
Sub-Saharan Africa,Namibia,Baby Food
Europe,Bulgaria,Baby Food
Asia,Bangladesh,Household
Middle East and North Africa,Algeria,Cosmetics
Europe,Kosovo,Baby Food
Middle East and North Africa,United Arab Emirates,Cereal
Sub-Saharan Africa,Botswana,Snacks
Europe,Montenegro,Cosmetics
Sub-Saharan Africa,Ghana,Cereal
Sub-Saharan Africa,Equatorial Guinea,Meat
Sub-Saharan Africa,Nigeria,Fruits
Europe,Poland,Baby Food
Europe,Estonia,Personal Care
Asia,Vietnam,Office Supplies
Australia and Oceania,Australia,Cosmetics
Central America and the Caribbean,Guatemala,Cereal
Europe,Vatican City,Household
Sub-Saharan Africa,Tanzania,Cereal
Europe,Cyprus,Clothes
Europe,Bosnia and Herzegovina,Meat
Sub-Saharan Africa,Djibouti,Personal Care
Europe,Kosovo,Snacks
Europe,Montenegro,Fruits
Australia and Oceania,Federated States of Micronesia,Meat
Europe,Hungary,Meat
Asia,Japan,Clothes
Sub-Saharan Africa,Cameroon,Beverages
Australia and Oceania,Nauru,Vegetables
Sub-Saharan Africa,Niger,Household
Middle East and North Africa,Syria,Cereal
Europe,San Marino,Beverages
Sub-Saharan Africa,Republic of the Congo,Fruits
North America,Mexico,Vegetables
Europe,Macedonia,Baby Food
Middle East and North Africa,Lebanon,Meat
Central America and the Caribbean,Saint Lucia,Vegetables
Sub-Saharan Africa,Swaziland,Household
Australia and Oceania,New Zealand,Snacks
Europe,Andorra,Snacks
Middle East and North Africa,Algeria,Baby Food
Europe,Belarus,Snacks
Europe,Armenia,Clothes
Asia,Singapore,Fruits
Central America and the Caribbean,Saint Kitts and Nevis ,Fruits
Middle East and North Africa,Afghanistan,Cosmetics
Sub-Saharan Africa,Lesotho,Baby Food
Asia,Nepal,Snacks
Europe,Ukraine,Meat
Sub-Saharan Africa,South Africa,Beverages
Sub-Saharan Africa,Sudan,Clothes
Central America and the Caribbean,Saint Vincent and the Grenadines,Beverages
Middle East and North Africa,Israel,Snacks
Sub-Saharan Africa,Seychelles ,Cosmetics
Australia and Oceania,Samoa ,Fruits
Middle East and North Africa,Iraq,Household
Asia,North Korea,Meat
North America,Canada,Cosmetics
Europe,Romania,Household
Asia,Myanmar,Fruits
Europe,United Kingdom,Clothes
Europe,Armenia,Cosmetics
Sub-Saharan Africa,Guinea,Vegetables
Sub-Saharan Africa,Kenya,Baby Food
Asia,Bhutan,Clothes
Europe,United Kingdom,Office Supplies
Europe,Austria,Vegetables
Sub-Saharan Africa,Benin,Baby Food
Sub-Saharan Africa,Zambia,Snacks
Central America and the Caribbean,Saint Vincent and the Grenadines,Cereal
Europe,Malta,Beverages
Middle East and North Africa,Afghanistan,Personal Care
Central America and the Caribbean,Panama,Cereal
Asia,Myanmar,Office Supplies
Central America and the Caribbean,Dominican Republic,Office Supplies
Central America and the Caribbean,Saint Kitts and Nevis ,Baby Food
Central America and the Caribbean,El Salvador,Clothes
Middle East and North Africa,Qatar,Personal Care
Middle East and North Africa,Jordan,Beverages
North America,Greenland,Vegetables
Middle East and North Africa,Jordan,Cosmetics
Europe,Serbia,Beverages
Central America and the Caribbean,Panama,Household
Middle East and North Africa,Tunisia ,Snacks
Sub-Saharan Africa,Namibia,Office Supplies
Middle East and North Africa,Turkey,Meat
Europe,Cyprus,Beverages
Middle East and North Africa,Israel,Snacks
Sub-Saharan Africa,Zimbabwe,Clothes
Australia and Oceania,New Zealand,Personal Care
Sub-Saharan Africa,Angola,Beverages
Sub-Saharan Africa,Gabon,Office Supplies
Sub-Saharan Africa,Senegal,Office Supplies
Australia and Oceania,Tuvalu,Meat
Asia,Kyrgyzstan,Snacks
Europe,Georgia,Snacks
Asia,Kyrgyzstan,Personal Care
Sub-Saharan Africa,Ghana,Vegetables
Australia and Oceania,Australia,Beverages
Europe,Latvia,Office Supplies
Australia and Oceania,Kiribati,Personal Care
Sub-Saharan Africa,Burundi,Vegetables
Central America and the Caribbean,Trinidad and Tobago,Vegetables
Europe,Austria,Cosmetics
Sub-Saharan Africa,Sudan,Meat
Middle East and North Africa,Afghanistan,Clothes
Sub-Saharan Africa,Botswana,Vegetables
Europe,Monaco,Meat
Europe,Croatia,Personal Care
Central America and the Caribbean,Costa Rica,Snacks
Europe,Greece,Cereal
Middle East and North Africa,Somalia,Personal Care
Central America and the Caribbean,Nicaragua,Cosmetics
Europe,Germany,Household
Middle East and North Africa,Algeria,Beverages
Asia,Sri Lanka,Personal Care
Middle East and North Africa,Somalia,Vegetables
Australia and Oceania,Australia,Household
Europe,Monaco,Baby Food
Europe,Poland,Snacks
North America,United States of America,Vegetables
Central America and the Caribbean,Saint Vincent and the Grenadines,Snacks
Central America and the Caribbean,Honduras,Meat
Sub-Saharan Africa,Burundi,Vegetables
Australia and Oceania,New Zealand,Office Supplies
Australia and Oceania,Papua New Guinea,Personal Care
Asia,Taiwan,Household
Middle East and North Africa,Jordan,Personal Care
Sub-Saharan Africa,Swaziland,Clothes
Europe,Albania,Baby Food
Europe,Czech Republic,Clothes
Europe,Kosovo,Personal Care
Sub-Saharan Africa,Djibouti,Personal Care
Australia and Oceania,Samoa ,Office Supplies
Central America and the Caribbean,Trinidad and Tobago,Baby Food
Sub-Saharan Africa,Cape Verde,Personal Care
Sub-Saharan Africa,Togo,Cosmetics
Europe,Russia,Beverages
Europe,Ukraine,Meat
Europe,Slovenia,Beverages
Sub-Saharan Africa,Madagascar,Clothes
Middle East and North Africa,Iraq,Snacks
Europe,Bosnia and Herzegovina,Personal Care
Middle East and North Africa,Morocco,Household
Sub-Saharan Africa,Niger,Office Supplies
Europe,Sweden,Vegetables
Europe,Monaco,Office Supplies
Middle East and North Africa,Somalia,Cosmetics
Europe,Luxembourg,Meat
Sub-Saharan Africa,Rwanda,Personal Care
Europe,Croatia,Fruits
Australia and Oceania,Vanuatu,Personal Care
Australia and Oceania,Marshall Islands,Cosmetics
Central America and the Caribbean,Haiti,Beverages
Europe,France,Vegetables
Sub-Saharan Africa,South Sudan,Cosmetics
Sub-Saharan Africa,Namibia,Household
Middle East and North Africa,Morocco,Meat
Australia and Oceania,Kiribati,Snacks
Europe,Belarus,Baby Food
Europe,Russia,Cosmetics
Asia,North Korea,Meat
Europe,Slovenia,Beverages
Central America and the Caribbean,Trinidad and Tobago,Meat
Europe,Austria,Baby Food
North America,Canada,Fruits
Europe,Macedonia,Beverages
Europe,Greece,Clothes
Sub-Saharan Africa,Burkina Faso,Fruits
Asia,Laos,Snacks
Asia,Tajikistan,Baby Food
Sub-Saharan Africa,Mozambique,Cereal
Asia,North Korea,Cosmetics
Asia,South Korea,Personal Care
Asia,Bhutan,Vegetables
Europe,Netherlands,Personal Care
Sub-Saharan Africa,Mali,Baby Food
Sub-Saharan Africa,Zimbabwe,Household
Europe,Slovakia,Fruits
Central America and the Caribbean,Panama,Meat
Europe,Georgia,Baby Food
Asia,Japan,Vegetables
Australia and Oceania,New Zealand,Beverages
Sub-Saharan Africa,Madagascar,Cosmetics
Asia,Singapore,Vegetables
Sub-Saharan Africa,Nigeria,Clothes
Sub-Saharan Africa,Nigeria,Meat
Europe,Estonia,Household
Europe,Portugal,Fruits
Sub-Saharan Africa,Democratic Republic of the Congo,Cosmetics
Europe,United Kingdom,Fruits
Sub-Saharan Africa,Angola,Vegetables
Sub-Saharan Africa,Namibia,Beverages
Asia,Nepal,Snacks
Europe,Malta,Office Supplies
Middle East and North Africa,Iraq,Fruits
Central America and the Caribbean,Haiti,Personal Care
Europe,Germany,Beverages
Australia and Oceania,Federated States of Micronesia,Cosmetics
Europe,Belgium,Clothes
Middle East and North Africa,Pakistan,Meat
Australia and Oceania,East Timor,Personal Care
Europe,Slovenia,Clothes
Europe,Macedonia,Baby Food
Asia,Kyrgyzstan,Beverages
Middle East and North Africa,Lebanon,Cosmetics
Europe,San Marino,Office Supplies
Australia and Oceania,Federated States of Micronesia,Fruits
North America,Mexico,Beverages
Central America and the Caribbean,Dominica,Beverages
Europe,Bosnia and Herzegovina,Office Supplies
Europe,Belarus,Household
Asia,Kyrgyzstan,Snacks
Europe,Slovenia,Beverages
Europe,Iceland,Snacks
Sub-Saharan Africa,Sierra Leone,Meat
Asia,Indonesia,Clothes
Europe,Czech Republic,Office Supplies
Asia,Nepal,Beverages
Asia,Kyrgyzstan,Baby Food
Sub-Saharan Africa,Seychelles ,Cereal
Europe,Slovenia,Household
Sub-Saharan Africa,South Sudan,Baby Food
Europe,Belgium,Office Supplies
Australia and Oceania,Federated States of Micronesia,Beverages
Europe,Latvia,Beverages
Asia,Tajikistan,Cosmetics
Australia and Oceania,Samoa ,Snacks
Sub-Saharan Africa,Chad,Personal Care
Europe,Norway,Vegetables
Middle East and North Africa,Somalia,Clothes
Europe,Spain,Meat
North America,Canada,Cosmetics
Asia,North Korea,Cosmetics
Central America and the Caribbean,Panama,Beverages
Europe,Andorra,Clothes
Sub-Saharan Africa,Rwanda,Beverages
Central America and the Caribbean,Guatemala,Personal Care
Sub-Saharan Africa,Republic of the Congo,Snacks
Sub-Saharan Africa,Republic of the Congo,Clothes
Asia,Kazakhstan,Cereal
Europe,Vatican City,Beverages
Sub-Saharan Africa,Sudan,Snacks
Middle East and North Africa,Oman,Household
North America,Greenland,Beverages
Middle East and North Africa,Oman,Fruits
North America,United States of America,Baby Food
Middle East and North Africa,Kuwait,Clothes
Sub-Saharan Africa,Cote d'Ivoire,Meat
Asia,Mongolia,Snacks
Asia,Taiwan,Household
Asia,South Korea,Cosmetics
Asia,China,Fruits
North America,Canada,Baby Food
Australia and Oceania,Vanuatu,Baby Food
Middle East and North Africa,Kuwait,Fruits
Sub-Saharan Africa,Namibia,Fruits
Australia and Oceania,Papua New Guinea,Snacks
Central America and the Caribbean,Dominica,Fruits
Asia,Indonesia,Cosmetics
Central America and the Caribbean,The Bahamas,Clothes
Sub-Saharan Africa,Malawi,Personal Care
Europe,Belgium,Personal Care
Australia and Oceania,Palau,Cereal
Central America and the Caribbean,Guatemala,Baby Food
Europe,Montenegro,Meat
North America,Mexico,Fruits
Europe,Liechtenstein,Vegetables
Europe,Kosovo,Fruits
Europe,Andorra,Clothes
Sub-Saharan Africa,Republic of the Congo,Meat
Sub-Saharan Africa,Ethiopia,Baby Food
Europe,Bulgaria,Personal Care
Sub-Saharan Africa,Djibouti,Household
Middle East and North Africa,Qatar,Meat
Europe,Luxembourg,Vegetables
Sub-Saharan Africa,Guinea-Bissau,Fruits
Middle East and North Africa,Libya,Vegetables
Europe,Slovenia,Meat
Sub-Saharan Africa,Madagascar,Household
Middle East and North Africa,Israel,Personal Care
Asia,Singapore,Cereal
Sub-Saharan Africa,Uganda,Household
Europe,Bulgaria,Cereal
Australia and Oceania,Nauru,Clothes
Sub-Saharan Africa,Nigeria,Cereal
Sub-Saharan Africa,South Sudan,Vegetables
Europe,Greece,Beverages
Europe,Serbia,Beverages
Sub-Saharan Africa,Mauritania,Meat
Sub-Saharan Africa,Mauritius ,Personal Care
Europe,Germany,Vegetables
Middle East and North Africa,Iraq,Vegetables
Europe,Malta,Personal Care
Asia,Thailand,Clothes
Sub-Saharan Africa,Cape Verde,Meat
Europe,Norway,Fruits
Asia,Nepal,Household
Middle East and North Africa,Morocco,Beverages
Sub-Saharan Africa,Liberia,Household
Sub-Saharan Africa,Chad,Snacks
Middle East and North Africa,Oman,Clothes
Europe,Serbia,Meat
Asia,Kazakhstan,Cereal
Europe,Finland,Vegetables
Middle East and North Africa,Lebanon,Fruits
Europe,Finland,Meat
Sub-Saharan Africa,Sierra Leone,Beverages
Sub-Saharan Africa,Guinea-Bissau,Beverages
Europe,Portugal,Vegetables
Middle East and North Africa,Lebanon,Vegetables
Sub-Saharan Africa,Angola,Office Supplies
Europe,Lithuania,Beverages
Europe,Latvia,Cereal
Europe,Portugal,Baby Food
Sub-Saharan Africa,Niger,Snacks
Central America and the Caribbean,Saint Vincent and the Grenadines,Meat
Europe,Luxembourg,Beverages
Europe,Vatican City,Beverages
Sub-Saharan Africa,Madagascar,Office Supplies
Sub-Saharan Africa,Togo,Snacks
Sub-Saharan Africa,Zimbabwe,Baby Food
Sub-Saharan Africa,Mauritania,Fruits
Australia and Oceania,Federated States of Micronesia,Fruits
Central America and the Caribbean,Barbados,Cosmetics
Europe,Croatia,Office Supplies
Sub-Saharan Africa,Republic of the Congo,Cosmetics
Sub-Saharan Africa,Cape Verde,Household
Asia,Kyrgyzstan,Clothes
Asia,Brunei,Personal Care
Central America and the Caribbean,Saint Vincent and the Grenadines,Beverages
Europe,Netherlands,Clothes
Sub-Saharan Africa,Kenya,Clothes
Europe,Macedonia,Personal Care
Asia,Brunei,Clothes
Central America and the Caribbean,Guatemala,Beverages
Asia,Vietnam,Office Supplies
Australia and Oceania,Marshall Islands,Household
Middle East and North Africa,Oman,Snacks
Central America and the Caribbean,Dominican Republic,Fruits
North America,United States of America,Beverages
Australia and Oceania,Solomon Islands,Baby Food
Sub-Saharan Africa,Botswana,Office Supplies
Sub-Saharan Africa,Liberia,Baby Food
Europe,Liechtenstein,Personal Care
Australia and Oceania,Federated States of Micronesia,Beverages
Sub-Saharan Africa,Kenya,Household
Central America and the Caribbean,Jamaica,Office Supplies
Asia,Sri Lanka,Meat
Middle East and North Africa,Syria,Personal Care
Australia and Oceania,Marshall Islands,Snacks
Europe,Slovenia,Household
Asia,Maldives,Baby Food
Europe,Armenia,Fruits
